module	operator	source_csv	ms_double_bound	ms_float_bound
BiasCorrection	MRIBiasFieldCorrectionFilter	extra35_1024_bound.csv	73.8904	43.6892
DiffusionTensorImage	TensorFractionalAnisotropyImageFilter	extra35_1024_bound.csv	0.0663	0.0705
DiffusionTensorImage	TensorRelativeAnisotropyImageFilter	extra35_1024_bound.csv	0.0673	0.0701
DiffusionTensorImage	DiffusionTensor3DReconstructionImageFilter	extra35_1024_bound.csv	114.8369	109.1182
ImageFeature	Hessian3DToVesselnessMeasureImageFilter	extra35_1024_bound.csv	6.9133	6.4988
ImageFeature	MultiScaleHessianBasedMeasureImageFilter	extra35_1024_bound.csv	6.0957	6.1855
Deconvolution	ParametricBlindLeastSquaresDeconvolutionImageFilter	extra35_1024_bound.csv	3.6277	3.9088
Deconvolution	ProjectedIterativeDeconvolutionImageFilter	extra35_1024_bound.csv	9.4706	5.1652
ImageFeature	GradientVectorFlowImageFilter	extra35_1024_bound.csv	2.4052	2.3321
ImageFeature	MaskFeaturePointSelectionFilter	extra35_1024_bound.csv	8.9479	6.7049
FFT	VnlComplexToComplexFFTImageFilter	extra35_1024_bound.csv	0.8376	0.8525
FFT	VnlComplexToComplex1DFFTImageFilter	extra35_1024_bound.csv	0.2595	0.2552
ImageGrid	BSplineControlPointImageFilter	extra35_1024_bound.csv	0.2829	0.2811
ImageGrid	InterpolateImagePointsFilter	extra35_1024_bound.csv	0.4876	0.5048
ImageGrid	OrientImageFilter	extra35_1024_bound.csv	0.2417	0.2369
ImageGrid	SliceBySliceImageFilter	extra35_1024_bound.csv	12.0565	11.8129
ImageIntensity	PolylineMask2DImageFilter	extra35_1024_bound.csv	0.0571	0.0560
ImageIntensity	PolylineMaskImageFilter	extra35_1024_bound.csv	0.4510	0.4470
ImageIntensity	VectorExpandImageFilter	extra35_1024_bound.csv	0.2369	0.2566
ImageIntensity	SymmetricEigenAnalysisImageFilter	extra35_1024_bound.csv	0.2968	0.2873
ImageIntensity	MatrixIndexSelectionImageFilter	extra35_1024_bound.csv	0.5332	0.5481
SpatialFunction	SpatialFunctionImageEvaluatorFilter	extra35_1024_bound.csv	0.0725	0.0692
ImageStatistics	GetAverageSliceImageFilter	extra35_1024_bound.csv	0.1898	0.1821
DisplacementField	InverseDisplacementFieldImageFilter	extra35_1024_bound.csv	0.4049	0.4109
DisplacementField	TimeVaryingVelocityFieldIntegrationImageFilter	extra35_1024_bound.csv	0.1780	0.2027
ImageFusion	LabelMapContourOverlayImageFilter	extra35_1024_bound.csv	0.4259	0.4340
MathematicalMorphology	MaskedMovingHistogramImageFilter	extra35_1024_bound.csv	3.2081	2.9646
ImageFilterBase	CastImageFilter	extra35_1024_bound.csv	0.2519	0.2454
ConnectedComponents	VectorConnectedComponentImageFilter	extra35_1024_bound.csv	0.0785	0.0844
Classifiers	BayesianClassifierImageFilter	extra35_1024_bound.csv	5.7228	5.3443
Voronoi	VoronoiSegmentationRGBImageFilter	extra35_1024_bound.csv	5.8440	5.9919
KLMRegionGrowing	KLMRegionGrowImageFilter	extra35_1024_bound.csv	0.8710	0.8794
LevelSets	VectorThresholdSegmentationLevelSetImageFilter	extra35_1024_bound.csv	1.8261	1.8162
LevelSets	ImplicitManifoldNormalVectorFilter	extra35_1024_bound.csv	4.6039	4.5828
ImageIntensity	AbsImageFilter	fill_missing_1024_bound.csv	3.0857	1.6621
ImageIntensity	AcosImageFilter	fill_missing_1024_bound.csv	2.6272	1.5982
ImageIntensity	AsinImageFilter	fill_missing_1024_bound.csv	3.3104	1.7518
ImageIntensity	AtanImageFilter	fill_missing_1024_bound.csv	6.2537	1.8973
ImageIntensity	SinImageFilter	fill_missing_1024_bound.csv	3.0789	2.1101
ImageIntensity	CosImageFilter	fill_missing_1024_bound.csv	3.1241	1.7828
ImageIntensity	TanImageFilter	fill_missing_1024_bound.csv	3.6888	2.8165
ImageIntensity	ExpImageFilter	fill_missing_1024_bound.csv	2.8727	2.7745
ImageIntensity	ExpNegativeImageFilter	fill_missing_1024_bound.csv	3.4600	2.4296
ImageIntensity	SqrtImageFilter	fill_missing_1024_bound.csv	3.2233	2.1124
ImageIntensity	SquareImageFilter	fill_missing_1024_bound.csv	2.4997	1.6739
ImageIntensity	InvertIntensityImageFilter	fill_missing_1024_bound.csv	2.9503	1.6350
ImageIntensity	BoundedReciprocalImageFilter	fill_missing_1024_bound.csv	2.0797	1.4834
ImageIntensity	RoundImageFilter	fill_missing_1024_bound.csv	3.0100	1.9569
ImageIntensity	NormalizeImageFilter	fill_missing_1024_bound.csv	6.1679	3.0736
ImageIntensity	AddImageFilter	fill_missing_1024_bound.csv	3.1145	1.7838
ImageIntensity	SubtractImageFilter	fill_missing_1024_bound.csv	3.1243	1.5311
ImageIntensity	MultiplyImageFilter	fill_missing_1024_bound.csv	2.4246	1.5167
ImageIntensity	DivideImageFilter	fill_missing_1024_bound.csv	4.4610	3.4519
ImageIntensity	DivideOrZeroOutImageFilter	fill_missing_1024_bound.csv	3.0998	1.5327
ImageIntensity	MaximumImageFilter	fill_missing_1024_bound.csv	3.0571	1.6261
ImageIntensity	MinimumImageFilter	fill_missing_1024_bound.csv	3.3151	1.7971
ImageIntensity	Atan2ImageFilter	fill_missing_1024_bound.csv	3.4716	2.6932
ImageIntensity	PowImageFilter	fill_missing_1024_bound.csv	3.6868	2.6561
ImageFeature	LaplacianImageFilter	fill_missing_1024_bound.csv	17.2503	16.4603
ImageFeature	LaplacianSharpeningImageFilter	fill_missing_1024_bound.csv	24.8690	27.5805
ImageFeature	ZeroCrossingImageFilter	fill_missing_1024_bound.csv	10.7744	9.6586
ImageFeature	SobelEdgeDetectionImageFilter	fill_missing_1024_bound.csv	33.3620	35.1330
ImageGradient	GradientMagnitudeImageFilter	fill_missing_1024_bound.csv	13.0599	13.6399
FFT	FFTShiftImageFilter	fill_missing_1024_bound.csv	9.3571	3.7683
FFT	FFTPadImageFilter	fill_missing_1024_bound.csv	2.4313	1.1022
MathematicalMorphology	GrayscaleDilateImageFilter	fill_missing_1024_bound.csv	11.9648	9.8856
MathematicalMorphology	GrayscaleErodeImageFilter	fill_missing_1024_bound.csv	11.6577	11.3834
MathematicalMorphology	GrayscaleMorphologicalOpeningImageFilter	fill_missing_1024_bound.csv	23.8312	22.6211
